Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Time,SAUH,RLK,NCR,INRD,CHG,RUS,WAX,INTM,ESUN,TOLS,CBL,CBS,CHBR,SEL,ANS,WIL,ESAL,SAUB,ESTR,LAF,NAS,BIR,CIN,DTR,EFIM,EVL,ESUK,LIRC,LFNS,PITS,MRN,MIIL,THT,FFT,CLEA,CRA,TUSC,INTP,LEBN,THTB,WALM,RAMP,RIP,LICL,PARA,BRO,HOLD,Spare 1,Spare 2,Spare 3,Spare 4,Spare 5,Spare 6,Time,Pull 1,Pull 2,Pull 3,D1,D2,D3,D4,D5,D6
,,,,,,,,18:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18:15,ONRD,,,,,PULL,,,
,,,,,,,,18:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18:30,ONRD,,,,,PULL,,,
,,,,,,,,18:45,5,2,2,0,4,2,1,3,3,2,1,1,5,1,2,2,3,12,3,2,3,1,0,2,2,5,3,1,2,3,0,0,3,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9,0,0,18:45,ONRD,,,,,PULL,,,
,,,,,,,,19:00,0,0,0,0,0,-56,0,0,0,0,-14,-64,0,0,-17,0,0,0,0,0,0,0,0,-37,0,0,0,0,0,0,0,0,0,0,0,0,-20,0,0,0,0,-12,0,0,0,0,0,0,0,0,0,0,0,19:00,ITHCBLB,ITHDTR,ITHRUS,,,,ITHCBLB,ITHDTR,ITHRUS
,,,,,,,,19:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19:15,ITHCBLB,ITHDTR,ITHRUS,,,,PULL,PULL,PULL
,,,,,,,,19:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19:30,ITHCBLB,ITHDTR,ITHRUS,,,,PULL,PULL,PULL
,,,,,,,,19:45,1,2,2,2,3,0,2,0,4,4,0,0,8,2,0,5,3,4,3,1,3,2,0,0,2,1,1,4,1,1,1,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,19:45,ITHCBLB,ITHDTR,ITHRUS,,,,PULL,PULL,PULL
,,,INRD,,,,,20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20:00,,,,,,,,,
,,,,,,,,20:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20:15,,,,,,,,,
,,,,,,,,20:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20:30,,,,,,,,,
,,,,,,,,20:45,0,0,1,1,2,4,3,4,0,3,3,2,2,4,2,7,1,2,0,1,2,3,0,0,1,3,1,2,0,1,1,1,1,0,0,1,1,1,1,1,2,3,0,1,4,0,1,0,0,0,3,0,0,20:45,,,,,,,,,
,,,,,,,,21:00,0,-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21:00,ITHEST,,,ITHEST,,,,,
,,,,,,,,21:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21:15,ITHEST,,,PULL,,,,,
,,,,,,,,21:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21:30,ITHEST,,,PULL,,,,,
